date,鼻水+鼻づまり+くしゃみ+目のかゆみ,overlap
2020-02-23,55.0,
2020-02-24,64.0,
2020-02-25,84.0,
2020-02-26,71.0,
2020-02-27,75.0,
2020-02-28,49.0,
2020-02-29,56.0,
2020-03-01,68.0,
2020-03-02,64.0,
2020-03-03,63.0,
2020-03-04,67.0,
2020-03-05,61.0,
2020-03-06,60.0,
2020-03-07,59.0,
2020-03-08,47.0,
2020-03-09,48.0,
2020-03-10,48.0,
2020-03-11,52.0,
2020-03-12,38.0,
2020-03-13,51.0,
2020-03-14,34.0,
2020-03-15,33.0,
2020-03-16,39.0,
2020-03-17,40.0,
2020-03-18,43.0,
2020-03-19,27.0,
2020-03-20,37.0,
2020-03-21,31.0,
2020-03-22,32.0,
2020-03-23,35.0,
2020-03-24,32.0,
2020-03-25,44.0,
2020-03-26,33.0,
2020-03-27,49.0,
2020-03-28,32.0,
2020-03-29,40.0,
2020-03-30,44.0,
2020-03-31,43.0,
2020-04-01,44.0,
2020-04-02,43.0,
2020-04-03,44.0,
2020-04-04,54.0,
2020-04-05,56.0,
2020-04-06,53.0,
2020-04-07,44.0,
2020-04-08,49.0,
2020-04-09,42.0,
2020-04-10,39.0,
2020-04-11,49.0,
2020-04-12,54.0,
2020-04-13,53.0,
2020-04-14,42.0,
2020-04-15,39.0,
2020-04-16,37.0,
2020-04-17,40.0,
2020-04-18,36.0,
2020-04-19,34.0,
2020-04-20,33.0,
2020-04-21,31.0,1.0
2020-04-22,33.0,1.0
2020-04-23,35.0,1.0
2020-04-24,45.0,1.0
2020-04-25,36.0,1.0
2020-04-26,41.0,1.0
2020-04-27,31.0,1.0
2020-04-28,30.0,1.0
2020-04-29,27.0,1.0
2020-04-30,29.0,1.0
2020-05-01,26.0,1.0
2020-05-02,31.0,1.0
2020-05-03,29.0,1.0
2020-05-04,31.0,1.0
2020-05-05,30.0,1.0
2020-05-06,32.0,1.0
2020-05-07,31.0,1.0
2020-05-08,39.0,1.0
2020-05-09,36.0,1.0
2020-05-10,28.0,1.0
2020-05-11,30.0,1.0
2020-05-12,32.0,1.0
2020-05-13,36.0,1.0
2020-05-14,41.0,1.0
2020-05-15,38.0,1.0
2020-05-16,28.0,1.0
2020-05-17,28.0,1.0
2020-05-18,19.0,1.0
2020-05-19,24.0,1.0
2020-05-20,31.0,1.0
2020-05-21,28.0,1.0
2020-05-22,28.0,1.0
2020-05-23,36.0,1.0
2020-05-24,28.0,1.0
2020-05-25,28.0,1.0
2020-05-26,26.0,1.0
2020-05-27,27.0,1.0
2020-05-28,26.0,1.0
2020-05-29,26.0,1.0
2020-05-30,34.0,1.0
2020-05-31,29.0,1.0
2020-06-01,28.0,1.0
2020-06-02,28.0,1.0
2020-06-03,26.0,1.0
2020-06-04,26.0,1.0
2020-06-05,25.0,1.0
2020-06-06,28.0,1.0
2020-06-07,28.0,1.0
2020-06-08,28.0,1.0
2020-06-09,26.0,1.0
2020-06-10,26.0,1.0
2020-06-11,27.0,1.0
2020-06-12,17.0,1.0
2020-06-13,27.0,1.0
2020-06-14,25.0,1.0
2020-06-15,22.0,1.0
2020-06-16,15.0,1.0
2020-06-17,33.0,1.0
2020-06-18,24.0,1.0
2020-06-19,23.0,1.0
2020-06-20,27.0,1.0
2020-06-21,32.0,1.0
2020-06-22,33.0,1.0
2020-06-23,26.0,1.0
2020-06-24,28.0,1.0
2020-06-25,24.0,1.0
2020-06-26,23.0,1.0
2020-06-27,27.0,1.0
2020-06-28,32.0,1.0
2020-06-29,30.0,1.0
2020-06-30,34.0,1.0
2020-07-01,30.0,1.0
2020-07-02,32.0,1.0
2020-07-03,30.0,1.0
2020-07-04,27.0,1.0
2020-07-05,37.0,1.0
2020-07-06,29.0,1.0
2020-07-07,27.0,1.0
2020-07-08,27.0,1.0
2020-07-09,31.0,1.0
2020-07-10,31.0,1.0
2020-07-11,36.0,1.0
2020-07-12,33.0,1.0
2020-07-13,35.0,1.0
2020-07-14,36.0,1.0
2020-07-15,33.0,1.0
2020-07-16,33.0,1.0
2020-07-17,35.0,1.0
2020-07-18,38.0,1.0
2020-07-19,42.0,1.0
2020-07-20,32.0,1.0
2020-07-21,40.0,1.0
2020-07-22,36.0,1.0
2020-07-23,44.0,1.0
2020-07-24,37.0,1.0
2020-07-25,30.0,1.0
2020-07-26,40.0,1.0
2020-07-27,30.0,1.0
2020-07-28,27.0,1.0
2020-07-29,34.0,1.0
2020-07-30,32.0,1.0
2020-07-31,38.0,
2020-08-01,38.0,
2020-08-02,55.0,
2020-08-03,40.0,
2020-08-04,40.0,
2020-08-05,33.0,
2020-08-06,36.0,
2020-08-07,36.0,
2020-08-08,38.0,
2020-08-09,43.0,
2020-08-10,41.0,
2020-08-11,33.0,
2020-08-12,32.0,
2020-08-13,32.0,
2020-08-14,27.0,
2020-08-15,41.0,
2020-08-16,35.0,
2020-08-17,30.0,
2020-08-18,34.0,
2020-08-19,31.0,
2020-08-20,36.0,
2020-08-21,28.0,
2020-08-22,28.0,
2020-08-23,33.0,
2020-08-24,35.0,
2020-08-25,27.0,
2020-08-26,32.0,
2020-08-27,28.0,
2020-08-28,23.0,
2020-08-29,25.0,
2020-08-30,29.0,
2020-08-31,26.0,
2020-09-01,21.0,
2020-09-02,24.0,
2020-09-03,20.0,
2020-09-04,27.0,
2020-09-05,25.0,
2020-09-06,26.0,
2020-09-07,27.0,
2020-09-08,32.0,
2020-09-09,23.0,
2020-09-10,23.0,
2020-09-11,27.0,
2020-09-12,28.0,
2020-09-13,31.0,
2020-09-14,31.0,
2020-09-15,35.0,
2020-09-16,33.0,
2020-09-17,24.0,
2020-09-18,21.0,
2020-09-19,34.0,
2020-09-20,35.0,
2020-09-21,41.0,
2020-09-22,43.0,
2020-09-23,24.0,
2020-09-24,31.0,
2020-09-25,31.0,
2020-09-26,31.0,
2020-09-27,44.0,
2020-09-28,40.0,
2020-09-29,56.0,
2020-09-30,44.0,
2020-10-01,35.0,
2020-10-02,36.0,
2020-10-03,40.0,
2020-10-04,40.0,
2020-10-05,37.0,
2020-10-06,44.0,
2020-10-07,39.0,1.0
2020-10-08,38.0,1.0
2020-10-09,41.0,1.0
2020-10-10,40.0,1.0
2020-10-11,32.0,1.0
2020-10-12,33.0,1.0
2020-10-13,35.0,1.0
2020-10-14,35.0,1.0
2020-10-15,43.0,1.0
2020-10-16,44.0,1.0
2020-10-17,54.0,1.0
2020-10-18,46.0,1.0
2020-10-19,44.0,1.0
2020-10-20,41.0,1.0
2020-10-21,44.0,1.0
2020-10-22,33.0,1.0
2020-10-23,38.0,1.0
2020-10-24,41.0,1.0
2020-10-25,44.0,1.0
2020-10-26,47.0,1.0
2020-10-27,45.0,1.0
2020-10-28,46.0,1.0
2020-10-29,38.0,1.0
2020-10-30,39.0,1.0
2020-10-31,40.0,1.0
2020-11-01,52.0,1.0
2020-11-02,36.0,1.0
2020-11-03,37.0,1.0
2020-11-04,37.0,1.0
2020-11-05,40.0,1.0
2020-11-06,38.0,1.0
2020-11-07,36.0,1.0
2020-11-08,37.0,1.0
2020-11-09,45.0,1.0
2020-11-10,45.0,1.0
2020-11-11,41.0,1.0
2020-11-12,42.0,1.0
2020-11-13,35.0,1.0
2020-11-14,35.0,1.0
2020-11-15,39.0,1.0
2020-11-16,35.0,1.0
2020-11-17,37.0,1.0
2020-11-18,45.0,1.0
2020-11-19,38.0,1.0
2020-11-20,36.0,1.0
2020-11-21,36.0,1.0
2020-11-22,33.0,1.0
2020-11-23,44.0,1.0
2020-11-24,41.0,1.0
2020-11-25,34.0,1.0
2020-11-26,41.0,1.0
2020-11-27,33.0,1.0
2020-11-28,29.0,1.0
2020-11-29,37.0,1.0
2020-11-30,46.0,1.0
2020-12-01,36.0,1.0
2020-12-02,34.0,1.0
2020-12-03,35.0,1.0
2020-12-04,32.0,1.0
2020-12-05,42.0,1.0
2020-12-06,40.0,1.0
2020-12-07,34.0,1.0
2020-12-08,44.0,1.0
2020-12-09,30.0,1.0
2020-12-10,44.0,1.0
2020-12-11,32.0,1.0
2020-12-12,33.0,1.0
2020-12-13,36.0,1.0
2020-12-14,32.0,1.0
2020-12-15,35.0,1.0
2020-12-16,38.0,1.0
2020-12-17,40.0,1.0
2020-12-18,41.0,1.0
2020-12-19,36.0,1.0
2020-12-20,40.0,1.0
2020-12-21,41.0,1.0
2020-12-22,36.0,1.0
2020-12-23,38.0,1.0
2020-12-24,44.0,1.0
2020-12-25,35.0,1.0
2020-12-26,37.0,1.0
2020-12-27,36.0,1.0
2020-12-28,47.0,1.0
2020-12-29,36.0,1.0
2020-12-30,31.0,1.0
2020-12-31,28.0,1.0
2021-01-01,42.0,1.0
2021-01-02,43.0,1.0
2021-01-03,41.0,1.0
2021-01-04,39.0,1.0
2021-01-05,42.0,1.0
2021-01-06,40.0,1.0
2021-01-07,38.0,1.0
2021-01-08,31.0,1.0
2021-01-09,30.0,1.0
2021-01-10,46.0,1.0
2021-01-11,40.0,1.0
2021-01-12,36.0,1.0
2021-01-13,30.0,1.0
2021-01-14,31.0,1.0
2021-01-15,35.0,1.0
2021-01-16,36.0,
2021-01-17,27.0,
2021-01-18,30.0,
2021-01-19,33.0,
2021-01-20,32.0,
2021-01-21,38.0,
2021-01-22,24.0,
2021-01-23,31.0,
2021-01-24,23.0,
2021-01-25,30.0,
2021-01-26,31.0,
2021-01-27,32.0,
2021-01-28,35.0,
2021-01-29,28.0,
2021-01-30,26.0,
2021-01-31,33.0,
2021-02-01,26.0,
2021-02-02,26.0,
2021-02-03,22.0,
2021-02-04,32.0,
2021-02-05,33.0,
2021-02-06,33.0,
2021-02-07,35.0,
2021-02-08,28.0,
2021-02-09,34.0,
2021-02-10,29.0,
2021-02-11,28.0,
2021-02-12,31.0,
2021-02-13,28.0,
2021-02-14,36.0,
2021-02-15,36.0,
2021-02-16,43.0,
2021-02-17,27.0,
2021-02-18,45.0,
2021-02-19,32.0,
2021-02-20,44.0,
2021-02-21,60.0,
2021-02-22,83.0,
2021-02-23,89.0,
2021-02-24,50.0,
2021-02-25,39.0,
2021-02-26,36.0,
2021-02-27,44.0,
2021-02-28,40.0,
2021-03-01,48.0,
2021-03-02,40.0,
2021-03-03,45.0,
2021-03-04,48.0,
2021-03-05,41.0,
2021-03-06,48.0,
2021-03-07,56.0,
2021-03-08,42.0,
2021-03-09,47.0,
2021-03-10,60.0,
2021-03-11,55.0,
2021-03-12,43.0,
2021-03-13,35.0,
2021-03-14,44.0,
2021-03-15,51.0,
2021-03-16,42.0,
2021-03-17,40.0,
2021-03-18,48.0,
2021-03-19,26.0,
2021-03-20,38.0,
2021-03-21,31.0,
2021-03-22,34.0,
2021-03-23,39.0,
2021-03-24,33.0,
2021-03-25,32.0,
2021-03-26,30.0,
2021-03-27,44.0,
2021-03-28,33.0,
2021-03-29,32.0,
2021-03-30,34.0,
2021-03-31,44.0,
2021-04-01,37.0,
2021-04-02,30.0,
2021-04-03,36.0,
2021-04-04,32.0,
2021-04-05,34.0,
2021-04-06,34.0,
2021-04-07,39.0,
2021-04-08,40.0,
2021-04-09,36.0,
2021-04-10,37.0,
2021-04-11,38.0,
2021-04-12,37.0,
2021-04-13,31.0,
2021-04-14,26.0,
2021-04-15,42.0,
2021-04-16,36.0,
2021-04-17,32.0,
2021-04-18,38.0,
2021-04-19,34.0,
2021-04-20,45.0,
2021-04-21,43.0,
2021-04-22,44.0,
2021-04-23,44.0,
2021-04-24,46.0,
2021-04-25,61.0,
2021-04-26,43.0,
2021-04-27,50.0,
2021-04-28,34.0,
2021-04-29,44.0,
2021-04-30,39.0,
2021-05-01,35.0,
2021-05-02,37.0,
2021-05-03,45.0,
2021-05-04,43.0,
2021-05-05,45.0,
2021-05-06,33.0,
2021-05-07,38.0,
2021-05-08,39.0,
2021-05-09,46.0,
2021-05-10,33.0,
2021-05-11,44.0,
2021-05-12,41.0,
2021-05-13,32.0,
2021-05-14,35.0,
2021-05-15,36.0,
2021-05-16,36.0,
2021-05-17,32.0,
2021-05-18,25.0,
2021-05-19,22.0,
2021-05-20,29.0,
2021-05-21,29.0,
2021-05-22,23.0,
2021-05-23,34.0,
2021-05-24,32.0,
2021-05-25,34.0,
2021-05-26,33.0,
2021-05-27,35.0,
2021-05-28,33.0,
2021-05-29,34.0,
2021-05-30,37.0,
2021-05-31,36.0,
2021-06-01,35.0,
2021-06-02,35.0,
2021-06-03,29.0,
2021-06-04,28.0,
2021-06-05,36.0,
2021-06-06,44.0,
2021-06-07,29.0,
2021-06-08,29.0,
2021-06-09,36.0,
2021-06-10,37.0,
2021-06-11,25.0,
2021-06-12,31.0,
2021-06-13,28.0,
2021-06-14,26.0,
2021-06-15,26.0,
2021-06-16,36.0,
2021-06-17,29.0,
2021-06-18,34.0,
2021-06-19,24.0,
2021-06-20,39.0,
2021-06-21,37.0,
2021-06-22,29.0,
2021-06-23,27.0,
2021-06-24,28.0,
2021-06-25,27.0,
2021-06-26,37.0,
2021-06-27,32.0,
2021-06-28,33.0,
2021-06-29,32.0,
2021-06-30,21.0,
2021-07-01,28.0,
2021-07-02,19.0,
2021-07-03,32.0,
